Genes,R1_6,R1_21,R2_12,R2_17,R1_9,R2_3,R1_11,R1_17,R1_1,R2_9,R1_15,R1_22,R2_10,R1_16,R2_14,R1_20,R1_18,R1_19,R1_4,R1_2,R1_10,R1_12,R2_16,R2_13,R1_5,R1_7,R2_15,R2_18,R2_5,R2_1,R1_14,R2_2,R2_6,R1_3,R2_7,R2_8,R1_24,R1_8,R2_4,R1_23,R1_13,R2_11
MEG_4100|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2450|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,120,477,7667,0,185,419,981,374,322,4470,636,331,578,959,209,1302,297,0,109,148,0,577,59,333,290,146,299,0,224,363,501,504,0,0,478,73618,163,85,100,106,187,347
MEG_4998|Drugs|betalactams|Class_D_betalactamases|OXA,0,45,0,0,56,24,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,39,100,0,0,171,200,154,255,0,39,0,0,0,0,42,75,0,0
MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,265,0,233,0,0,0,98,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6997|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,4009,21888,4483,104283,12777,25700,12353,41591,10701,13411,19968,22356,7554,26743,33895,28505,17068,0,6804,8312,10544,9088,17177,59530,12368,28689,14444,49834,28117,40378,37557,40771,30660,129,10105,13642,6487,3200,5837,2532,2221,36581
MEG_5171|Drugs|betalactams|Class_D_betalactamases|OXA,98,50,0,0,65,204,29,96,52,26,22,1057,147,142,0,216,12,0,23,145,0,198,0,0,59,62,0,0,96,430,107,202,0,22,0,34,72,17,57,104,0,18
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,159,229,914,160,299,348,329,372,288,434,250,262,238,526,268,535,98,0,46,110,0,349,418,308,114,162,154,334,293,458,282,311,0,51,218,150,69,112,116,172,79,435
MEG_3091|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2567|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,0,0,0,0,33,0,3,12,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1148|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,130,183,3746,0,0,174,303,193,239,2779,280,131,228,447,131,474,126,0,0,172,0,341,0,194,0,0,214,0,0,0,228,0,0,0,0,32740,0,0,0,0,0,363
MEG_949|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,3277,2978,15586,766,2935,5516,2642,3218,1871,9148,2148,11474,5550,5628,967,9929,1001,0,852,1906,1272,4884,4513,872,4736,1952,11984,2243,4735,16380,4463,9897,2598,1322,1649,13784,1914,1393,2623,5179,1058,7101
MEG_5772|Biocides|Peroxide_resistance|peroxide_resistance_regulator|PERR,16,8,20,0,19,14,0,7,0,23,0,177,34,0,41,11,0,0,83,41,266,0,45,43,236,565,21,0,0,0,31,36,44,0,10,44,71,18,0,1304,536,0
MEG_7121|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2169,1360,4381,14316,1969,3804,782,4310,1394,1626,1110,2487,4133,2011,7891,1744,844,0,2856,939,1838,507,13557,13638,682,5051,7465,7513,3354,2797,4219,2986,4157,514,1534,1599,2621,2278,5507,931,192,7710
MEG_2702|Biocides|Acid_resistance|Acid_resistance_protein|EEFX,6,0,46,0,44,0,8,2,0,0,0,0,27,2,0,11,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0
MEG_7856|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,158,446,7840,187,182,305,859,428,339,4499,718,413,397,1149,244,1388,304,0,185,155,665,382,87,381,680,334,307,0,195,880,482,824,0,22,633,62045,152,106,74,130,190,450
MEG_2493|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,90,99,1706,54,98,63,52,61,35,823,48,63,132,133,0,167,13,0,16,0,25,25,384,25,254,57,1173,97,274,610,178,907,80,7,0,133,24,28,66,255,0,327
MEG_2742|Drugs|MLS|Macrolide_esterases|EREA,0,0,0,0,51,46,0,0,0,0,0,0,0,56,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,179,134,0,0,0,0,0,0,0,0,68,0,0
MEG_4985|Drugs|betalactams|Class_D_betalactamases|OXA,134,0,0,0,0,0,0,0,0,0,0,22,0,0,0,108,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
MEG_3434|Drugs|Rifampin|Monooxygenase|IRI,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,177,0,0,0,161,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,210,0,0,0,0
MEG_4042|Drugs|MLS|Macrolide_phosphotransferases|MPHE,12427,7736,100224,4154,10709,7882,7372,4219,4320,50942,4759,6729,3422,13852,465,27865,1469,0,3951,3343,19570,4390,13901,1062,30437,7833,47709,13508,24831,51890,14150,105651,34297,3606,6364,9754,4939,4354,9215,21078,1480,58274
MEG_4955|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
MEG_1682|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRA,76,87,0,0,254,90,18,46,23,24,21,80,0,48,0,118,0,0,0,32,0,0,20,0,94,428,0,0,284,588,0,1129,996,19,0,0,29,132,115,139,0,43
MEG_6509|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILS,5556,291,9985,206,1065,381,500,471,404,2793,723,370,589,941,127,1597,381,0,531,429,3723,283,48,205,2133,914,531,0,542,2865,381,482,0,1780,414,55407,335,131,110,201,195,235
MEG_761|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,210,159,0,0,195,225,67,103,81,0,101,404,0,372,0,403,49,0,92,86,0,3558,0,0,236,193,0,0,249,845,236,386,0,0,0,0,1090,120,216,195,0,0
MEG_6734|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,30,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5225|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,229,0,0,0,0,0,0,0,105,0,0
MEG_933|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,255,309,1674,0,200,316,360,239,232,1227,373,861,1976,609,81,897,202,0,89,188,224,525,342,98,0,0,1004,0,378,1088,408,770,0,0,439,1473,161,74,233,309,124,540
MEG_830|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,102,104,0,0,228,292,43,179,47,0,99,520,17,210,0,410,64,0,27,99,185,295,0,0,122,143,17,0,232,571,249,384,0,52,0,0,99,45,147,178,75,0
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,4661,609,6328,158,1237,481,1412,586,453,3103,652,366,1007,1155,387,1683,481,0,543,306,694,562,136,1818,2231,883,438,657,432,3158,424,725,0,2085,731,287,264,129,111,265,213,549
MEG_1645|Drugs|betalactams|Class_A_betalactamases|CEPA,0,20,32,0,0,0,0,0,0,24,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0
MEG_6140|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,0,0,2677,0,0,0,0,209,0,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,26713,0,0,0,0,0,0
MEG_1440|Drugs|betalactams|Class_A_betalactamases|BLAZ,43,23,0,0,13,43,0,0,42,0,0,1323,0,0,0,0,247,0,194,248,82,0,0,0,876,163,0,0,39,516,275,117,246,590,0,0,221,84,1769,3102,1598,0
MEG_6621|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,692,1133,10747,1343,725,1030,1953,1157,758,7549,1390,867,2893,2323,2731,2966,670,0,250,580,578,2718,15162,828,794,354,33144,2332,1163,1632,1633,2801,0,247,11556,3027,295,401,412,1180,330,9050
MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,79,652,11875,248,240,460,1077,578,575,6939,1038,375,944,1680,348,1461,420,0,110,226,259,585,136,517,724,154,548,0,397,758,731,353,0,0,703,46331,282,234,123,119,216,482
MEG_5758|Drugs|betalactams|Class_A_betalactamases|PER,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7078|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,1168,1535,139,0,1556,2862,470,1405,662,117,690,2221,104,3069,68,3450,279,0,260,716,0,3793,205,200,1878,1247,579,0,3019,10706,1943,5341,630,234,214,49,1122,848,2009,2824,187,179
MEG_900|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,37,29,0,0,0,11,42,31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
MEG_1119|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,42,0,64,0,0,0,0,0,0,58,0,88,71,0,0,0,0,0,319,0,377,0,55,54,0,608,0,0,0,0,0,249,0,0,0,81,0,0,0,0,0,0
MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,2592,11118,6711,57192,7093,14268,10232,21149,7805,11009,9001,12230,7589,14296,16497,22358,10140,0,2401,4821,7163,6758,8045,32063,6082,10537,6723,32088,16480,13013,14025,14073,7242,143,11012,17480,3122,2922,2599,1565,1263,17583
MEG_1920|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2234,0,0,0,0,0,0
MEG_4176|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,8,10,433,0,8,3,18,19,8,211,31,10,7,21,3,19,2,0,2,0,0,12,5,22,11,0,9,2,6,34,7,0,0,0,12,43,4,0,8,0,1,6
MEG_7042|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,61,518,2919,141,151,222,798,248,346,1922,801,453,1216,911,103,1431,350,0,182,135,354,569,91,161,551,159,159,0,175,709,418,926,0,0,529,32370,189,77,84,163,184,271
MEG_1889|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,31,0,0,83,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3598,0,0,0,0,0,0
MEG_2561|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,0,10,0,0,45,42,0,9,43,0,11,8,0,9,0,40,0,0,0,2,0,0,0,0,19,0,0,0,28,0,0,0,0,11,0,0,2,0,14,3,0,0
MEG_1838|Drugs|betalactams|Class_C_betalactamases|CMY,26,0,0,0,0,0,0,24,0,83,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4214,0,0,0,0,0,0
MEG_7245|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETY,869,2547,29458,1812,1108,2412,2900,2671,2350,21534,2853,2651,24602,4616,3378,7947,2734,0,511,1077,418,6581,28843,1830,1586,1069,62939,2015,2492,4480,3814,4971,558,228,5957,3309,999,667,705,1593,849,5515
MEG_4128|Metals|Nickel_resistance|Nickel_MFS_efflux_regulator|NCRYN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,112,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
MEG_4103|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC,39,129,1717,105,75,49,158,62,106,928,245,93,98,350,42,389,57,0,5,54,79,90,44,66,183,21,50,0,40,298,81,602,0,6,291,23151,31,46,38,13,21,202
MEG_346|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,106,114,0,0,205,209,56,102,92,23,99,212,0,154,0,366,65,0,25,57,102,232,0,10,278,127,0,0,155,657,235,290,66,0,0,0,96,54,162,220,26,0
MEG_808|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,83,124,575,0,94,132,147,112,78,446,136,676,761,287,104,344,0,0,0,124,71,240,171,107,100,118,426,0,164,389,155,314,61,0,355,462,74,58,60,106,44,256
MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5
MEG_6679|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1155|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,280,1598,324,228,430,765,157,492,805,175,185,4647,423,513,1060,451,450,0,1522,1477,1713,267,1406,1268,1543,2367,2397,1054,632,2007,1297,878,887,225,446,304,1561,754,1625,822,491,1003
MEG_699|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,2569,1803,885,3387,2219,1950,1452,1841,9482,2255,1497,2493,1311,2156,2426,3124,1354,0,1634,4367,11557,1178,2869,3648,4210,8273,1378,12436,1877,3728,1874,3446,14210,2889,552,955,669,77743,2209,1211,284,2415
MEG_7012|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET59,83,29,0,0,0,73,0,0,0,0,23,69,0,0,0,82,0,0,74,63,0,0,0,0,947,0,0,0,0,2393,0,0,0,1210,0,0,115,124,0,1141,0,0
MEG_4036|Drugs|MLS|Macrolide_phosphotransferases|MPHC,0,0,14,0,0,0,0,17,0,0,0,29,0,25,0,41,0,0,0,0,0,0,91,0,0,0,22,0,0,0,72,0,0,0,0,55,0,0,0,0,0,0
MEG_2683|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,0,34,292,0,0,0,50,30,16,194,32,0,23,67,0,51,0,0,0,0,0,0,0,10,39,0,21,0,26,0,22,0,0,0,27,3153,0,7,0,0,0,27
MEG_7854|Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR,288,938,15300,290,408,746,1768,698,654,11406,1596,519,811,2224,493,2553,645,0,244,224,775,976,175,645,1894,659,931,363,480,2032,818,1896,0,27,1085,153877,319,146,152,179,445,872
MEG_3699|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5937|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,240,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
MEG_1680|Drugs|MLS|23S_rRNA_methyltransferases|CFR,424,631,213,8331,536,2705,969,1691,282,1756,585,614,286,640,300,1213,298,0,203,130,3036,799,246,423,219,738,264,4094,1813,596,672,847,0,0,1523,613,179,102,112,289,190,787
MEG_2830|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,196,1440,203,4367,1371,1340,2556,2041,870,2636,1475,1579,171,1826,285,5090,1415,0,250,552,1118,1574,150,1321,939,1017,193,1406,2114,2184,1667,2591,2381,0,1656,9954,532,320,533,268,315,1122
MEG_2916|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,245,393,2912,72,451,428,256,289,180,1832,339,282,99,727,407,704,80,0,0,92,74,456,2121,62,466,150,5178,165,631,1514,341,1603,0,78,0,304,123,182,244,769,90,631
MEG_367|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,155,82,0,0,146,165,0,55,85,0,94,121,24,140,0,346,43,0,37,40,0,165,0,0,303,106,0,0,184,599,187,375,0,0,12,0,94,0,125,152,0,0
MEG_1029|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,3635,7482,32220,6243,6770,9673,3681,9708,3929,7779,3108,32079,9547,9194,32708,10311,2105,0,1422,7621,2649,4748,89304,20571,3934,10920,78615,9370,9349,15187,9064,11650,3755,9866,12033,9241,2884,1702,1822,45916,14881,57051
MEG_2656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,0,28,92,0,0,28,0,18,17,112,44,0,103,48,0,44,0,0,15,0,0,14,0,19,15,19,0,0,0,48,21,22,0,0,61,299,0,0,0,0,0,0
MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,311,1279,20815,333,429,789,1908,819,882,12262,1531,663,1044,2297,533,2565,626,0,254,433,734,1487,237,726,795,311,743,441,456,1108,928,1178,0,0,1660,187788,299,268,151,199,370,823
MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,0,58,42,0,30,16,69,17,0,157,59,53,25,90,0,82,28,0,0,12,0,82,0,0,124,0,0,0,0,0,59,176,0,0,59,51,0,0,0,0,16,32
MEG_1519|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,5487,8328,79286,7034,6533,14892,7300,15083,6652,16183,5142,14596,24287,12257,94883,15315,3246,0,1261,7908,1145,7256,188468,38918,3646,6886,185807,18349,8778,12200,11031,7102,2491,548,21318,22976,3119,2703,1723,4223,1421,112982
MEG_4293|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMD,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7214|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,4243,20607,5255,35107,6148,12865,19359,20837,12732,19312,15415,17452,6909,19838,12986,30255,17599,0,1665,7189,7760,15046,2971,25069,6162,5840,4083,23888,10641,11414,15996,10241,2337,1286,15573,21354,2849,2742,2179,5050,4547,15427
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,466,2708,45898,797,847,1550,4262,1924,2000,27843,3954,1403,2345,5090,1011,6153,1400,0,596,773,1575,2553,397,1628,2111,816,1732,1457,1431,2310,2097,3643,0,75,4178,407683,631,573,380,517,840,1942
MEG_2988|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,0,0,38,0,0,0,0,0,0,0,8,0,0,0,84,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,29020,0,0,0,0,0,0
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,45,500,10504,120,195,334,757,344,421,7549,682,367,474,1056,279,1239,304,0,118,113,168,435,93,358,572,313,483,0,290,533,366,530,0,0,702,71903,140,107,37,111,139,367
MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,126,338,4516,41,165,304,418,180,223,2131,367,183,197,619,149,754,177,0,82,67,117,232,26,190,447,211,155,202,164,504,223,592,0,7,310,31055,92,96,73,51,48,186
MEG_6967|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET31,280,312,8582,471,326,941,747,842,205,2109,479,354,658,964,3381,1053,128,0,184,165,0,633,22879,724,99,220,41139,980,615,527,869,1461,0,0,178,1332,156,202,115,304,92,14300
MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,8885,6147,30687,2825,4284,3689,2066,3097,3374,9062,1958,22493,4347,4884,14046,5759,760,0,1641,6687,3630,2403,43000,6873,6866,4361,44982,4221,6183,21119,5301,13624,3712,12785,3895,5025,3775,1665,1821,53662,18125,25565
MEG_1923|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0
MEG_6630|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,802,1273,11392,1203,820,1190,2118,1312,825,7902,1435,972,3560,2593,2933,3349,704,0,199,651,589,2759,15220,908,931,410,34452,2591,1327,1675,1714,3136,369,334,11944,3088,383,472,484,1410,429,9482
MEG_1061|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,931,1316,5918,909,1260,1764,672,1754,739,1721,741,5625,1368,1743,3922,1811,354,0,382,1641,821,834,13088,2654,805,2103,13118,1449,1846,3594,1668,3013,885,1622,1664,1880,575,335,420,8532,2363,8964
MEG_1888|Drugs|betalactams|Class_C_betalactamases|CMY,22,0,0,0,0,0,0,0,0,47,0,12,0,16,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3059,0,0,0,0,0,0
MEG_888|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,269,366,1426,90,270,554,280,298,252,1013,280,908,1826,726,63,1071,199,0,106,216,70,657,334,87,398,179,962,105,333,1237,406,852,226,104,332,1277,214,122,234,336,105,567
